"(47.548757999999999, -122.357102)" 0.0150181431941 4
"(47.717117000000002, -122.333123)" 0.0146225660197 3
"(47.607165999999999, -122.287218)" 0.0165105921154 1
"(47.612498000000002, -122.350556)" 0.00689034549206 13
"(47.522573999999999, -122.360496)" 0.0127554380952 3
"(47.716270999999999, -122.35692899999999)" 0.00745815882105 1
"(47.712086999999997, -122.297583)" 0.00929788626517 1
"(47.721204999999998, -122.294095)" 0.00259961247112 7
"(47.573093999999998, -122.313396)" 0.00493866419186 1
"(47.516860000000001, -122.25456)" 0.0141328303252 1
"(47.712646999999997, -122.355509)" 0.0105412202804 1
"(47.703356999999997, -122.37275)" 0.0109976220157 2
"(47.530146999999999, -122.349396)" 0.00651312290688 1
"(47.639597000000002, -122.36112300000001)" 0.0104213784117 1
"(47.648626999999998, -122.40789700000001)" 0.0112486845453 1
"(47.619926999999997, -122.33041799999999)" 0.0147991176088 2
"(47.575923000000003, -122.29400800000001)" 0.000758768739471 3
"(47.681476000000004, -122.373609)" 0.0123379674177 1
"(47.707650999999998, -122.31783900000001)" 0.0233626480734 2
"(47.614113000000003, -122.31262599999999)" 0.00286669234485 2
"(47.555202999999999, -122.273928)" 0.00720299618215 1
"(47.572935000000001, -122.303383)" 0.00539651906325 1
"(47.689445999999997, -122.300625)" 0.0121436826375 2
"(47.609065000000001, -122.142903)" 0.146696921989 1
"(47.550960000000003, -122.291487)" 0.0151884993334 1
"(47.582664000000001, -122.313396)" 0.0119101882437 1
"(47.585256999999999, -122.321394)" 0.012827580637 1
"(47.539642999999998, -122.345472)" 0.0108469539503 2
"(47.609634, -122.34217200000001)" 0.00686059254001 4
"(47.669446000000001, -122.378884)" 0.00187801624061 3
"(47.566701999999999, -122.290975)" 0.00965954553797 2
"(47.536684000000001, -122.29586399999999)" 0.0226693534314 1
"(47.518599999999999, -122.265108)" 0.00444700404768 3
"(47.701692000000001, -122.33747200000001)" 0.00473409178196 1
"(47.621001999999997, -122.30734200000001)" 0.0094685200533 1
"(47.689991999999997, -122.355301)" 0.00796479786309 1
"(47.599938000000002, -122.331574)" 0.000384005208301 1
"(47.553541000000003, -122.294867)" 0.0190496908374 1
"(47.685051000000001, -122.39572800000001)" 0.0203011377514 1
"(47.579985000000001, -122.29517800000001)" 0.00439695007932 1
"(47.528281999999997, -122.368551)" 0.0117163292033 9
"(47.668523, -122.298508)" 0.00550456219875 1
"(47.617198000000002, -122.33512899999999)" 0.00966094011988 14
"(47.710172999999998, -122.29012)" 0.0129585725294 1
"(47.664866000000004, -122.308153)" 0.00851132404506 1
"(47.555900000000001, -122.283479)" 0.0101872642059 1
"(47.613354000000001, -122.315518)" 0.00225385891307 3
"(47.683450999999998, -122.297213)" 0.0147217751987 1
"(47.660043999999999, -122.365781)" 0.0137420121161 1
"(47.589368999999998, -122.30387899999999)" 0.0121491784907 1
"(47.568959999999997, -122.294917)" 0.00665750493804 1
"(47.613002000000002, -122.325469)" 0.0106856672698 2
"(47.62473, -122.36400399999999)" 0.0110851425791 1
"(47.610393999999999, -122.31656099999999)" 0.00537740653104 1
"(47.605305000000001, -122.32298900000001)" 0.0104855875372 3
"(47.571035999999999, -122.33419600000001)" 0.00667827298035 1
"(47.537157000000001, -122.361206)" 0.00726504301432 5
"(47.58943, -122.30516)" 0.0122785067496 1
"(47.687150000000003, -122.36727500000001)" 0.0116466925777 2
"(47.514952000000001, -122.254375)" 0.0143202302356 1
"(47.715775000000001, -122.298186)" 0.00576424444312 10
"(47.687524000000003, -122.324128)" 0.00845132533985 1
"(47.663662000000002, -122.373594)" 0.00602653739721 3
"(47.611054000000003, -122.323638)" 0.0096613642929 1
"(47.589737, -122.317279)" 0.0178245159822 2
"(47.617131000000001, -122.34889800000001)" 0.0042665173151 7
"(47.597512999999999, -122.324996)" 0.00733938178596 2
"(47.685074, -122.301886)" 0.0160196827996 1
"(47.560585000000003, -122.271843)" 0.0129747246984 1
"(47.702162000000001, -122.347268)" 0.00678003222706 1
"(47.637689999999999, -122.40556599999999)" 0.0055982356149 2
"(47.651308, -122.345983)" 0.00371350144741 1
"(47.518985999999998, -122.26164)" 0.00765937105774 1
"(47.564208999999998, -122.373136)" 0.00742689982428 1
"(47.672626999999999, -122.29853)" 0.00676464078869 1
"(47.643346000000001, -122.394176)" 0.00711928999268 1
"(47.686242999999997, -122.27530899999999)" 0.0188417092908 1
"(47.699159000000002, -122.32545399999999)" 0.0165705242524 1
"(47.664892000000002, -122.281921)" 0.0117286246849 1
"(47.63776, -122.361091)" 0.00898028178845 1
"(47.690626000000002, -122.360747)" 0.0103524436246 8
"(47.612943000000001, -122.293631)" 0.0132575057232 2
"(47.500185000000002, -122.261612)" 0.0172485670129 2
"(47.643219999999999, -122.406149)" 0.00641569676653 2
