location distance crime_count
"(47.563471974999999, -122.286857029)" 0.058701538262 3
"(47.643843766000003, -122.383910938)" 0.0546711119081 13
"(47.682525048000002, -122.263683183)" 0.0741221820666 6
"(47.577021549000001, -122.388740953)" 0.048533194244 1
"(47.631508930999999, -122.347614334)" 0.0185797924258 5
"(47.600034725999997, -122.32896633199999)" 0.00413980655941 8
"(47.697888732000003, -122.37611943100001)" 0.0414733029289 2
"(47.679141936999997, -122.34727652799999)" 0.0267654413385 3
"(47.675856817000003, -122.320677018)" 0.0305786160894 4
"(47.646878424999997, -122.349754064)" 0.0330339597384 1
"(47.565700315999997, -122.35797517100001)" 0.0294805036036 5
"(47.693337331999999, -122.35935041)" 0.0262073391905 5
"(47.523492197000003, -122.286703049)" 0.0764418241923 2
"(47.718776861000002, -122.369634664)" 0.0381457813134 2
"(47.549223671999997, -122.319116029)" 0.0447604818579 19
"(47.730113000000003, -122.292312063)" 0.0505820228996 3
"(47.627396242000003, -122.297557712)" 0.0231173077809 1
"(47.661461739000003, -122.365089802)" 0.0512399955045 6
"(47.569098252000003, -122.379975634)" 0.0372114473397 2
"(47.630458730000001, -122.361163018)" 0.0282802918104 1
"(47.533294083000001, -122.388701545)" 0.026863529487 1
"(47.562271199000001, -122.297315293)" 0.0526269407163 1
"(47.688644578000002, -122.330370344)" 0.0149729858571 3
"(47.586657119999998, -122.31727817300001)" 0.021163146712 6
"(47.680305736000001, -122.346231249)" 0.025254056005 8
"(47.589770965, -122.3048793)" 0.0282291445393 1
"(47.557463128000002, -122.36224066)" 0.0209641864421 1
"(47.650957941000001, -122.350595653)" 0.0371184809174 15
"(47.663083618000002, -122.343758932)" 0.0407791804546 2
"(47.615637554999999, -122.34835507299999)" 0.0118957115808 11
"(47.641811326000003, -122.376164691)" 0.0469881965792 6
"(47.620975596999997, -122.299877069)" 0.0182893364067 1
"(47.533902025000003, -122.35335453)" 0.00905611692844 3
"(47.56409489, -122.27637815)" 0.0655450630554 3
"(47.552281475000001, -122.32956131100001)" 0.0361008409674 6
"(47.682205373999999, -122.391909308)" 0.0606022302652 3
"(47.710281365999997, -122.304393656)" 0.0314352465025 1
"(47.598100127999999, -122.300536967)" 0.0240107972603 1
"(47.583645738000001, -122.29923915800001)" 0.0362836342809 10
"(47.614683534999998, -122.30746144299999)" 0.00982918501802 2
"(47.556517413000002, -122.37625330100001)" 0.0245560402864 3
"(47.517266347000003, -122.339029376)" 0.0299826968786 7
"(47.633026604000001, -122.394988858)" 0.0607463839661 3
"(47.615900787999998, -122.30263674)" 0.0146447810816 7
"(47.610264968999999, -122.322918657)" 0.00758028128203 4
"(47.581737938000003, -122.290870623)" 0.0427162965876 5
"(47.593925765999998, -122.311850499)" 0.0201137553708 3
"(47.694922349999999, -122.31759692200001)" 0.0190990108539 1
"(47.584105223999998, -122.309468119)" 0.0281134383036 2
"(47.612834368000001, -122.342622658)" 0.0071984686305 72
"(47.522864189000003, -122.358468981)" 0.0140931259111 1
"(47.719569468000003, -122.33768843599999)" 0.0168929036915 15
"(47.612451184000001, -122.326435571)" 0.00871782781534 22
"(47.555285959999999, -122.286971517)" 0.0645718008465 2
"(47.685132279999998, -122.34449388500001)" 0.0201687286385 7
"(47.582682919, -122.31600605600001)" 0.0251936677095 2
"(47.584056165, -122.295110999)" 0.0383203432164 1
"(47.592063576999998, -122.298776229)" 0.0297133097543 5
"(47.627504784999999, -122.351463956)" 0.0185040137177 1
"(47.662379526999999, -122.33374140799999)" 0.0405384931487 4
"(47.707567306999998, -122.30154593100001)" 0.0337285573422 19
"(47.605702463, -122.318109092)" 0.00965407133446 14
"(47.664714807000003, -122.370765011)" 0.0523528793609 1
"(47.572438128999998, -122.376058501)" 0.0385791129541 1
"(47.551138203999997, -122.30681010799999)" 0.0571271694454 3
"(47.708602800999998, -122.324615153)" 0.0118038553769 539
"(47.577660195, -122.29299559499999)" 0.0448052190123 3
"(47.628710497999997, -122.356683902)" 0.023528069233 3
"(47.703119614000002, -122.36272631200001)" 0.0277771801778 4
"(47.602628537000001, -122.328209157)" 0.00181113516641 6
"(47.537459523999999, -122.267268027)" 0.0909994721412 1
