Type,Date,Location
Medic Response,09/28/2010,47.575292 -122.393386
Aid Response,09/28/2010,47.610911 -122.335788
Medic Response,09/28/2010,47.535387 -122.267284
Medic Response,09/28/2010,47.721329 -122.296339
Medic Response,09/28/2010,47.609902 -122.323791
Medic Response,09/28/2010,47.526328 -122.314912
Aid Response,09/28/2010,47.614705 -122.344794
Aid Response,09/28/2010,47.656038 -122.384697
Auto Fire Alarm,09/28/2010,47.613977 -122.343441
Aid Response,09/28/2010,47.560296 -122.38416
Aid Response,09/28/2010,47.605227 -122.320749
Aid Response Yellow,09/28/2010,47.72343 -122.348165
Auto Fire Alarm,09/28/2010,47.653625 -122.316641
Trans to AMR,09/28/2010,47.707228 -122.359463
Medic Response,09/28/2010,47.690586 -122.35232
Trans to AMR,09/28/2010,47.534913 -122.280753
Aid Response,09/28/2010,47.591712 -122.386152
Aid Response,09/28/2010,47.613179 -122.320765
Aid Response,09/28/2010,47.617164 -122.326745
Trans to AMR,09/28/2010,47.613471 -122.328902
Aid Response,09/28/2010,47.615384 -122.347925
Medic Response,09/28/2010,47.546242 -122.380474
Aid Response,09/28/2010,47.599269 -122.30412
Trans to AMR,09/28/2010,47.625537 -122.316822
Trans to AMR,09/28/2010,47.59574 -122.29434
Auto Fire Alarm,09/28/2010,47.609955 -122.328383
Medic Response,09/28/2010,47.558988 -122.376234
Trans to AMR,09/28/2010,47.600841 -122.330271
Aid Response,09/28/2010,47.549669 -122.25757
"Medic Response, 7 per Rule",09/28/2010,47.661259 -122.309512
Aid Response,09/28/2010,47.526465 -122.322916
"Medic Response, 7 per Rule",09/28/2010,47.661626 -122.286532
Automatic Fire Alarm False,09/28/2010,47.67092 -122.390583
Medic Response,09/28/2010,47.588414 -122.309467
Auto Fire Alarm,09/28/2010,47.610398 -122.31021
Aid Response,09/28/2010,47.613164 -122.302704
Aid Response,09/28/2010,47.612025 -122.344231
Auto Fire Alarm,09/28/2010,47.623464 -122.319902
Aid Response,09/28/2010,47.614788 -122.342952
Medic Response,09/28/2010,47.680927 -122.398667
Aid Response,09/28/2010,47.712461 -122.315198
"Mutual Aid, Medic",09/28/2010,47.763227 -122.35075
"Medic Response, 7 per Rule",09/28/2010,47.601667 -122.327778
Aid Response,09/28/2010,47.560518 -122.307945
Medic Response,09/28/2010,47.602172 -122.330863
Aid Response,09/28/2010,47.540663 -122.280805
Aid Response,09/28/2010,47.624349 -122.321989
Aid Response,09/28/2010,47.727026 -122.347716
Aid Response,09/28/2010,47.676628 -122.320041
Aid Response,09/28/2010,47.607742 -122.326595
EVENT - Special Event,09/28/2010,47.590144 -122.334195
Aid Response,09/28/2010,47.710969 -122.326017
Medic Response,09/28/2010,47.537641 -122.270206
Aid Response,09/28/2010,47.658298 -122.317782
Aid Response,09/28/2010,47.613334 -122.352173
Medic Response,09/28/2010,47.708899 -122.320568
Aid Response,09/28/2010,47.551176 -122.277664
Aid Response,09/28/2010,47.65934 -122.383402
Aid Response,09/28/2010,47.618751 -122.319254
Aid Response,09/28/2010,47.72205 -122.303997
Medic Response,09/28/2010,47.612626 -122.341277
Aid Response,09/28/2010,47.561926 -122.376204
Aid Response,09/28/2010,47.592952 -122.301167
Aid Response,09/28/2010,47.662193 -122.366195
Auto Fire Alarm,09/28/2010,47.54887 -122.354722
Auto Fire Alarm,09/28/2010,47.583591 -122.321395
Aid Response,09/28/2010,47.638128 -122.393119
Aid Response,09/28/2010,47.612136 -122.335373
Trans to AMR,09/28/2010,47.601719 -122.331966
Medic Response,09/28/2010,47.659307 -122.400889
Aid Response,09/28/2010,47.565361 -122.372148
Aid Response,09/28/2010,47.541266 -122.392334
Medic Response,09/28/2010,47.605147 -122.30279
Motor Vehicle Accident,09/28/2010,47.70685 -122.333961
Aid Response,09/28/2010,47.611718 -122.324166
Aid Response,09/28/2010,47.564077 -122.376189
Aid Response,09/28/2010,47.661319 -122.320728
Aid Response,09/28/2010,47.600877 -122.317978
Auto Fire Alarm,09/28/2010,47.580822 -122.312101
Medic Response,09/28/2010,47.600883 -122.334182
Medic Response,09/28/2010,47.601719 -122.331966
Aid Response,09/28/2010,47.600865 -122.319763
Auto Fire Alarm,09/28/2010,47.606176 -122.310249
Aid Response,09/28/2010,47.687149 -122.383257
Aid Response,09/28/2010,47.609983 -122.338006
Aid Response,09/28/2010,47.53145 -122.272768
Aid Response,09/28/2010,47.601311 -122.33161
Medic Response,09/28/2010,47.732881 -122.296531
Medic Response,09/28/2010,47.719601 -122.355539
Aid Response,09/28/2010,47.537299 -122.286862
Aid Response,09/28/2010,47.683258 -122.307794
Aid Response,09/28/2010,47.677601 -122.280793
Auto Fire Alarm,09/28/2010,47.650266 -122.310514
"Hang-Up, Aid",09/28/2010,47.617071 -122.327746
Aid Response Yellow,09/28/2010,47.727923 -122.296065
Aid Response,09/28/2010,47.66785 -122.398315
Aid Response,09/28/2010,47.61055 -122.329318
Aid Response,09/28/2010,47.670175 -122.378984
Medic Response,09/28/2010,47.608269 -122.334903
Motor Vehicle Accident,09/28/2010,47.560319 -122.33944
"Medic Response, 6 per Rule",09/28/2010,47.657633 -122.383688
Car Fire Freeway,09/28/2010,47.708629 -122.328634
Automatic Medical Alarm,09/28/2010,47.668654 -122.393133
Aid Response,09/28/2010,47.730365 -122.301921
Aid Response,09/28/2010,47.599269 -122.30412
Aid Response,09/28/2010,47.669447 -122.379666
Medic Response,09/28/2010,47.535104 -122.281884
Auto Fire Alarm,09/28/2010,47.607617 -122.334306
Auto Fire Alarm,09/28/2010,47.608665 -122.329131
Medic Response,09/28/2010,47.598291 -122.330232
Aid Response,09/28/2010,47.603246 -122.318102
Aid Response,09/28/2010,47.723212 -122.344977
Aid Response,09/28/2010,47.613308 -122.342432
Aid Response,09/28/2010,47.619215 -122.302545
Motor Vehicle Accident Freeway,09/28/2010,47.571579 -122.367558
Aid Response,09/28/2010,47.561926 -122.376204
Aid Response,09/28/2010,47.570159 -122.362016
Motor Vehicle Accident,09/28/2010,47.599281 -122.302233
Auto Fire Alarm,09/28/2010,47.620061 -122.341084
"Hang-Up, Aid",09/28/2010,47.592396 -122.334195
Medic Response,09/28/2010,47.542438 -122.280769
Aid Response,09/28/2010,47.523072 -122.387455
Aid Response,09/28/2010,47.607742 -122.326595
Automatic Medical Alarm,09/28/2010,47.562728 -122.294695
Rescue Lock In/Out,09/28/2010,47.617855 -122.326761
Automatic Fire Alarm Resd,09/28/2010,47.660574 -122.276205
Trans to AMR,09/28/2010,47.648458 -122.381982
Aid Response,09/28/2010,47.65682 -122.31211
Rubbish Fire,09/28/2010,47.603698 -122.329187
Aid Response,09/28/2010,47.69607 -122.376796
Medic Response,09/28/2010,47.542648 -122.294275
Trans to AMR,09/28/2010,47.526216 -122.360471
Aid Response,09/28/2010,47.548213 -122.384389
Aid Response,09/28/2010,47.610275 -122.341343
Aid Response,09/28/2010,47.615789 -122.336507
Aid Response,09/28/2010,47.637416 -122.355598
Aid Response,09/28/2010,47.661269 -122.31313
Aid Response,09/28/2010,47.553694 -122.370929
Medic Response,09/28/2010,47.649207 -122.338628
Medic Response,09/28/2010,47.719638 -122.355539
Aid Response,09/28/2010,47.661269 -122.31313
Medic Response,09/28/2010,47.524654 -122.348153
Motor Vehicle Accident Freeway,09/28/2010,47.587138 -122.320156
Aid Response,09/28/2010,47.601267 -122.33157
Auto Fire Alarm,09/28/2010,47.591904 -122.325968
Auto Fire Alarm,09/28/2010,47.653873 -122.309663
Aid Response,09/28/2010,47.607128 -122.326189
Fire in Building,09/28/2010,47.666825 -122.28083
Single Medic Unit,09/28/2010,47.668611 -122.377222
Medic Response,09/28/2010,47.664291 -122.344439
Aid Response,09/28/2010,47.597509 -122.322452
Motor Vehicle Accident Freeway,09/28/2010,47.542027 -122.303649
Medic Response,09/28/2010,47.606181 -122.311554
Medic Response,09/28/2010,47.619215 -122.302545
Aid Response,09/28/2010,47.534702 -122.274812
3RED - 1 +1 + 1,09/28/2010,47.619733 -122.345846
Unk Odor,09/28/2010,47.616385 -122.335736
Automatic Fire Alarm Resd,09/28/2010,47.692408 -122.273875
Medic Response,09/28/2010,47.544669 -122.373757
Medic Response,09/28/2010,47.712345 -122.355508
Aid Response,09/28/2010,47.715859 -122.323486
Aid Response,09/28/2010,47.638383 -122.356927
Medic Response,09/28/2010,47.644976 -122.40588
Auto Fire Alarm,09/28/2010,47.629844 -122.342303
Medic Response,09/28/2010,47.679903 -122.372549
Alarm Bell,09/28/2010,47.545342 -122.370273
Aid Response,09/28/2010,47.58117 -122.383264
Medic Response,09/28/2010,47.609343 -122.325128
Aid Response,09/28/2010,47.613936 -122.343494
Aid Response,09/28/2010,47.584548 -122.314684
Aid Response,09/28/2010,47.52268 -122.376706
Aid Response,09/28/2010,47.563242 -122.312741
Aid Response,09/28/2010,47.692965 -122.328406
Medic Response,09/28/2010,47.60189 -122.335525
Aid Response,09/28/2010,47.611207 -122.337592
Aid Response,09/28/2010,47.719638 -122.355539
Aid Response,09/28/2010,47.604991 -122.333174
Aid Response,09/28/2010,47.585498 -122.303605
Auto Fire Alarm,09/28/2010,47.661533 -122.320727
Aid Response,09/28/2010,47.656018 -122.316767
Aid Response,09/28/2010,47.66147 -122.314281
Aid Response,09/28/2010,47.620716 -122.347603
Aid Response,09/28/2010,47.553146 -122.30512
Medic Response,09/28/2010,47.663032 -122.330149
Aid Response,09/28/2010,47.667143 -122.35442
Aid Response,09/28/2010,47.528282 -122.368551
Auto Fire Alarm,09/28/2010,47.568767 -122.370751
Aid Response,09/28/2010,47.723119 -122.323565
Aid Response,09/28/2010,47.60086 -122.292545
Motor Vehicle Accident,09/28/2010,47.537042 -122.281293
Aid Response,09/28/2010,47.732672 -122.351757
Aid Response,09/28/2010,47.602172 -122.330863
Aid Response,09/28/2010,47.661333 -122.322956
Medic Response,09/28/2010,47.674162 -122.318472
Auto Fire Alarm,09/28/2010,47.60828 -122.334742
Electrical Problem,09/28/2010,47.543962 -122.326071
Auto Fire Alarm,09/28/2010,47.568767 -122.370751
Aid Response,09/28/2010,47.586175 -122.331685
Aid Response,09/28/2010,47.610404 -122.319144
Aid Response,09/28/2010,47.625111 -122.36637
Aid Response,09/28/2010,47.640134 -122.327107
Medic Response,09/28/2010,47.639924 -122.27842
TEST - MIS TEST,09/28/2010,47.533685 -122.354063
Medic Response,09/28/2010,47.693732 -122.396943
Aid Response Yellow,09/28/2010,47.61762 -122.310139
Motor Vehicle Accident,09/28/2010,47.526119 -122.276941
Aid Response,09/28/2010,47.523307 -122.269986
Medic Response,09/28/2010,47.673881 -122.352628
Medic Response,09/28/2010,47.719638 -122.355539
Aid Response,09/28/2010,47.71049 -122.326004
Aid Response,09/28/2010,47.617071 -122.327746
Aid Response,09/28/2010,47.645856 -122.369373
Medic Response,09/28/2010,47.600194 -122.330541
Aid Response,09/28/2010,47.606687 -122.31155
Aid Response,09/28/2010,47.622027 -122.287163
Car Fire,09/28/2010,47.73413 -122.355571
Aid Response,09/28/2010,47.64687 -122.334542
Aid Response,09/28/2010,47.697845 -122.358071
Aid Response,09/28/2010,47.595741 -122.325068
Medic Response,09/28/2010,47.658298 -122.317782
Aid Service,09/28/2010,47.522599 -122.376709
Aid Response,09/28/2010,47.544323 -122.369945
Aid Response,09/28/2010,47.55094 -122.287786
Medic Response,09/28/2010,47.727923 -122.296065
Aid Response,09/28/2010,47.663664 -122.376123
Medic Response,09/28/2010,47.567072 -122.269096
Aid Response,09/28/2010,47.618566 -122.346316
Medic Response,09/29/2010,47.522264 -122.325263
Auto Fire Alarm,09/29/2010,47.726864 -122.348012
Aid Response,09/29/2010,47.581888 -122.335125
Aid Response,09/29/2010,47.707135 -122.340683
Motor Vehicle Accident,09/29/2010,47.527299 -122.317568
Electrical Problem,09/29/2010,47.579556 -122.325977
Aid Response,09/29/2010,47.553337 -122.268027
Auto Fire Alarm,09/29/2010,47.576649 -122.386725
Rescue Elevator,09/29/2010,47.723218 -122.348195
Aid Response,09/29/2010,47.632255 -122.326071
Aid Response,09/29/2010,47.538872 -122.284744
Medic Response,09/29/2010,47.636091 -122.369015
Medic Response,09/29/2010,47.531543 -122.346776
Medic Response,09/29/2010,47.626221 -122.329198
Medic Response,09/29/2010,47.540556 -122.286111
Aid Response,09/29/2010,47.690176 -122.301476
Medic Response,09/29/2010,47.548022 -122.371144
Food On The Stove Out,09/29/2010,47.66005 -122.312025
Medic Response,09/29/2010,47.588422 -122.317276
Medic Response,09/29/2010,47.519702 -122.267368
Auto Fire Alarm,09/29/2010,47.661533 -122.320727
Medic Response,09/29/2010,47.606467 -122.320874
Medic Response,09/29/2010,47.668678 -122.384862
Aid Response,09/29/2010,47.605873 -122.335782
Food On The Stove Out,09/29/2010,47.697519 -122.298598
Aid Response,09/29/2010,47.533544 -122.372565
Automatic Medical Alarm,09/29/2010,47.711428 -122.278676
Auto Fire Alarm,09/29/2010,47.671478 -122.317364
Medic Response,09/29/2010,47.668671 -122.378959
Automatic Medical Alarm,09/29/2010,47.658298 -122.317782
Aid Response,09/29/2010,47.677811 -122.352473
Aid Response,09/29/2010,47.670175 -122.378984
Medic Response,09/29/2010,47.602985 -122.328535
Medic Response,09/29/2010,47.602985 -122.328535
Aid Response,09/29/2010,47.573085 -122.36255
Aid Response,09/29/2010,47.601654 -122.295819
EVENT - Special Event,09/29/2010,47.590144 -122.334195
Aid Response,09/29/2010,47.716146 -122.327478
Aid Response,09/29/2010,47.716146 -122.327478
Motor Vehicle Accident,09/29/2010,47.668667 -122.376214
Aid Response,09/29/2010,47.584542 -122.30291
Aid Response,09/29/2010,47.601722 -122.334179
Medic Response,09/29/2010,47.719433 -122.29273
Aid Response,09/29/2010,47.61054 -122.324624
Automatic Fire Alarm Resd,09/29/2010,47.635954 -122.36683
Motor Vehicle Accident,09/29/2010,47.686941 -122.3526
Medic Response,09/29/2010,47.538872 -122.284744
Aid Response,09/29/2010,47.614088 -122.32682
Aid Response,09/29/2010,47.606903 -122.341335
Aid Response,09/29/2010,47.690609 -122.376806
Aid Response,09/29/2010,47.539214 -122.375239
Trans to AMR,09/29/2010,47.619215 -122.302545
Motor Vehicle Accident,09/29/2010,47.557041 -122.28463
Aid Response,09/29/2010,47.611943 -122.325987
Medic Response,09/29/2010,47.526142 -122.37971
Aid Response,09/29/2010,47.546466 -122.359717
Dumpster Fire,09/29/2010,47.664901 -122.313074
Trans to AMR,09/29/2010,47.659793 -122.312994
Aid Response,09/29/2010,47.592039 -122.334195
Aid Response,09/29/2010,47.612669 -122.345319
Aid Response,09/29/2010,47.702274 -122.301657
Medic Response,09/29/2010,47.576923 -122.371501
Auto Fire Alarm,09/29/2010,47.601722 -122.334442
Automatic Fire Alarm Resd,09/29/2010,47.579196 -122.390689
Aid Response,09/29/2010,47.516421 -122.372341
Medic Response,09/29/2010,47.609578 -122.318058
Aid Response,09/29/2010,47.536696 -122.270213
Aid Response,09/29/2010,47.604377 -122.325207
Aid Response,09/29/2010,47.599995 -122.314133
Aid Response,09/29/2010,47.616394 -122.322149
Aid Response,09/29/2010,47.726864 -122.348004
Auto Fire Alarm,09/29/2010,47.613555 -122.346818
Medic Response,09/29/2010,47.667515 -122.387632
Aid Response,09/29/2010,47.681804 -122.3519
Aid Response,09/29/2010,47.601649 -122.302324
Automatic Medical Alarm,09/29/2010,47.625929 -122.300566
Aid Response,09/29/2010,47.704379 -122.358359
Water Job Minor,09/29/2010,47.527661 -122.342932
Aid Response,09/29/2010,47.534801 -122.360399
Auto Fire Alarm,09/29/2010,47.650266 -122.310514
Aid Response,09/29/2010,47.681498 -122.269595
Assault w/Weap 7 per Rule,09/29/2010,47.586118 -122.329062
Aid Response,09/29/2010,47.591915 -122.382655
Medic Response,09/29/2010,47.521174 -122.390217
Aid Response,09/29/2010,47.626286 -122.348863
Aid Response,09/29/2010,47.721092 -122.296336
Medic Response,09/29/2010,47.69681 -122.327101
Aid Response,09/29/2010,47.614798 -122.348918
Aid Response,09/29/2010,47.721896 -122.297725
Medic Response,09/29/2010,47.601812 -122.322455
Aid Response,09/29/2010,47.535387 -122.267284
Medic Response,09/29/2010,47.609768 -122.342398
Automatic Fire Alarm Resd,09/29/2010,47.562078 -122.287632
Aid Response,09/29/2010,47.609955 -122.328383
Motor Vehicle Accident,09/29/2010,47.612889 -122.316733
Aid Response,09/29/2010,47.680293 -122.325826
Aid Response,09/29/2010,47.511638 -122.254697
Auto Fire Alarm,09/29/2010,47.618248 -122.350787
Aid Response,09/29/2010,47.571556 -122.344651
Aid Response,09/29/2010,47.613618 -122.346924
Medic Response,09/29/2010,47.604377 -122.325207
Auto Fire Alarm,09/29/2010,47.607617 -122.334306
Auto Fire Alarm,09/29/2010,47.726854 -122.337217
EVENT - Special Event,09/29/2010,47.595693 -122.333273
Aid Response,09/29/2010,47.607742 -122.326595
Medic Response,09/29/2010,47.726864 -122.348012
Aid Response,09/29/2010,47.673096 -122.382521
Medic Response,09/29/2010,47.67795 -122.389728
Medic Response,09/29/2010,47.678606 -122.324424
Medic Response,09/29/2010,47.732881 -122.296531
Medic Response,09/29/2010,47.725373 -122.30593
Aid Response,09/29/2010,47.654274 -122.373603
Trans to AMR,09/29/2010,47.528565 -122.391611
Aid Response,09/29/2010,47.661269 -122.31313
Aid Response,09/29/2010,47.599195 -122.327654
Aid Response,09/29/2010,47.599195 -122.327667
1RED 1 Unit,09/29/2010,47.597662 -122.287018
Medic Response,09/29/2010,47.600194 -122.330541
Aid Response,09/29/2010,47.669442 -122.376214
Aid Response,09/29/2010,47.509514 -122.263066
Aid Response,09/29/2010,47.58617 -122.329062
Aid Response,09/29/2010,47.523194 -122.393362
Aid Response,09/29/2010,47.672009 -122.275887
Aid Response,09/29/2010,47.639592 -122.387665
Automatic Fire Alarm False,09/29/2010,47.690519 -122.33644
Aid Response,09/29/2010,47.575392 -122.329059
Medic Response,09/29/2010,47.617173 -122.333103
Aid Response,09/29/2010,47.615377 -122.343947
Medic Response,09/29/2010,47.526463 -122.322358
Trans to AMR,09/29/2010,47.524654 -122.348114
Medic Response,09/29/2010,47.600034 -122.327396
Medic Response,09/29/2010,47.535187 -122.368473
Aid Response,09/29/2010,47.577576 -122.398716
Aid Response,09/29/2010,47.531507 -122.356397
Medic Response,09/29/2010,47.546479 -122.325036
Aid Response,09/29/2010,47.551937 -122.280544
Aid Response,09/29/2010,47.708611 -122.325941
Aid Response,09/29/2010,47.613301 -122.337431
Auto Fire Alarm,09/29/2010,47.611672 -122.336484
Electrical Problem,09/29/2010,47.545614 -122.329588
Aid Response,09/29/2010,47.681498 -122.290435
Motor Vehicle Accident,09/29/2010,47.719745 -122.318132
Motor Vehicle Accident,09/29/2010,47.547503 -122.321439
Aid Response,09/29/2010,47.535914 -122.270031
Aid Response,09/29/2010,47.538879 -122.28571
Automatic Fire Alarm False,09/29/2010,47.709397 -122.309982
Medic Response,09/29/2010,47.712739 -122.351537
Aid Response,09/29/2010,47.669454 -122.384743
Automatic Medical Alarm,09/29/2010,47.667492 -122.39879
Medic Response,09/29/2010,47.600194 -122.330541
Aid Response,09/29/2010,47.583699 -122.314692
Aid Response,09/29/2010,47.523312 -122.276403
Aid Response,09/29/2010,47.697809 -122.344608
Medic Response,09/29/2010,47.69828 -122.393626
Trans to AMR,09/29/2010,47.712167 -122.312433
Aid Response,09/29/2010,47.663664 -122.376123
Aid Response,09/29/2010,47.535765 -122.283484
Trans to AMR,09/29/2010,47.608584 -122.340581
Aid Response,09/29/2010,47.581214 -122.391903
Medic Response,09/29/2010,47.596499 -122.322456
Aid Response,09/29/2010,47.603415 -122.322791
Rescue Elevator,09/29/2010,47.661533 -122.320727
Aid Response,09/29/2010,47.608037 -122.311541
Medic Response,09/29/2010,47.607115 -122.310242
Aid Response,09/29/2010,47.676435 -122.384284
Auto Fire Alarm,09/29/2010,47.663064 -122.299851
Rescue Heavy,09/29/2010,47.633861 -122.324001
Aid Response,09/29/2010,47.641218 -122.395649
Aid Response,09/29/2010,47.610034 -122.338053
Motor Vehicle Accident Freeway,09/29/2010,47.720021 -122.324486
Aid Response,09/29/2010,47.708414 -122.299074
Automatic Fire Alarm False,09/29/2010,47.613555 -122.346818
Aid Response,09/29/2010,47.62884 -122.371323
Aid Response,09/29/2010,47.534046 -122.3506
Auto Fire Alarm,09/29/2010,47.590202 -122.292408
Aid Response,09/29/2010,47.71049 -122.326004
Medic Response,09/29/2010,47.689446 -122.300625
Aid Response,09/29/2010,47.520264 -122.261582
Aid Response,09/29/2010,47.572951 -122.413439
Automatic Fire Alarm Resd,09/29/2010,47.521297 -122.275744
Medic Response,09/29/2010,47.534074 -122.347404
"Medic Response, 7 per Rule",09/29/2010,47.72321 -122.338238
Auto Fire Alarm,09/29/2010,47.681623 -122.322816
Aid Response,09/29/2010,47.52412 -122.264611
Trans to AMR,09/29/2010,47.554937 -122.282393
Rescue Automobile,09/29/2010,47.569984 -122.29697
Medic Response,09/29/2010,47.617714 -122.334018
Aid Response,09/29/2010,47.647009 -122.38335
Tanker Fire,09/29/2010,,
Aid Response,09/29/2010,47.665154 -122.33101
Aid Response,09/29/2010,47.712167 -122.312433
Auto Fire Alarm,09/29/2010,47.523041 -122.313356
Aid Response,09/29/2010,47.623153 -122.296667
Aid Response,09/29/2010,47.533692 -122.360425
"Medic Response, 7 per Rule",09/29/2010,47.526118 -122.286924
Aid Response,09/29/2010,47.563614 -122.29145
Aid Response,09/29/2010,47.665852 -122.301917
Aid Response,09/29/2010,47.601672 -122.305031
Medic Response,09/29/2010,47.601672 -122.305031
Rescue Elevator,09/29/2010,47.610972 -122.340465
Aid Response,09/29/2010,47.569771 -122.290699
Aid Response,09/29/2010,47.585498 -122.303605
Fire in Building,09/29/2010,47.712345 -122.355508
Medic Response,09/29/2010,47.611743 -122.336314
Aid Response,09/29/2010,47.545988 -122.280849
4RED - 2 + 1 + 1,09/29/2010,47.719601 -122.355539
Aid Response,09/29/2010,47.659205 -122.394965
Aid Response,09/29/2010,47.705101 -122.357777
Aid Response,09/29/2010,47.597406 -122.317228
Medic Response,09/29/2010,47.653423 -122.390205
Medic Response,09/29/2010,47.602114 -122.330809
Aid Response,09/29/2010,47.60423 -122.337349
Medic Response,09/29/2010,47.596541 -122.293896
Aid Response,09/30/2010,47.523041 -122.28716
EVENT - Special Event,09/30/2010,47.621329 -122.355431
Aid Response,09/30/2010,47.613308 -122.342432
Water Job Minor,09/30/2010,47.65153 -122.388739
Motor Vehicle Accident,09/30/2010,47.625169 -122.29876
Aid Response,09/30/2010,47.689231 -122.355301
Aid Response,09/30/2010,47.567036 -122.281791
Aid Response,09/30/2010,47.596673 -122.32455
Motor Vehicle Accident,09/30/2010,47.587885 -122.396
Aid Response,09/30/2010,47.57931 -122.386621
Auto Fire Alarm,09/30/2010,47.662202 -122.37398
Aid Response,09/30/2010,47.612577 -122.342956
"Medic Response, 7 per Rule",09/30/2010,47.623391 -122.314649
"Medic Response, 7 per Rule",09/30/2010,47.64247 -122.305512
Aid Response,09/30/2010,47.60739 -122.332564
Motor Vehicle Accident,09/30/2010,47.686941 -122.35229
Aid Response,09/30/2010,47.553797 -122.388472
Aid Response,09/30/2010,47.625462 -122.346259
Medic Response,09/30/2010,47.707748 -122.31784
Aid Response,09/30/2010,47.571115 -122.28993
Aid Response,09/30/2010,47.523307 -122.269986
Aid Response,09/30/2010,47.66167 -122.319564
Aid Response,09/30/2010,47.526449 -122.317582
Aid Response,09/30/2010,47.520114 -122.272516
Aid Response,09/30/2010,47.61015 -122.333556
Aid Response,09/30/2010,47.602985 -122.328535
Aid Response,09/30/2010,47.558988 -122.376234
Motor Vehicle Accident,09/30/2010,47.666267 -122.300605
Fire in Single Family Res,09/30/2010,47.67786 -122.356417
Auto Fire Alarm,09/30/2010,47.659762 -122.320836
Aid Response,09/30/2010,47.679512 -122.387542
Medic Response,09/30/2010,47.581133 -122.379147
Auto Fire Alarm,09/30/2010,47.595693 -122.333273
Medic Response,09/30/2010,47.570191 -122.386767
Auto Fire Alarm,09/30/2010,47.58272 -122.385113
Medic Response,09/30/2010,47.658298 -122.317782
Aid Response,09/30/2010,47.719292 -122.297803
Medic Response,09/30/2010,47.653799 -122.277981
Medic Response,09/30/2010,47.623153 -122.296667
Aid Response,09/30/2010,47.601519 -122.330266
Aid Response,09/30/2010,47.521595 -122.264225
Aid Response,09/30/2010,47.665932 -122.384105
Automatic Fire Alarm Resd,09/30/2010,47.661274 -122.27055
Single Medic Unit,09/30/2010,47.621988 -122.320906
Automatic Fire Alarm Resd,09/30/2010,47.529465 -122.392723
Medic Response,09/30/2010,47.620503 -122.312644
Medic Response,09/30/2010,47.692817 -122.335118
Automatic Medical Alarm,09/30/2010,47.562728 -122.294695
Medic Response,09/30/2010,47.559261 -122.378845
Aid Response,09/30/2010,47.681114 -122.344499
Aid Response,09/30/2010,47.668611 -122.377222
Aid Response,09/30/2010,47.555436 -122.283483
Aid Response,09/30/2010,47.712412 -122.281839
Aid Response,09/30/2010,47.72343 -122.348165
Aid Response,09/30/2010,47.595693 -122.333273
Aid Response,09/30/2010,47.510007 -122.378688
Aid Response,09/30/2010,47.666366 -122.284802
Aid Response,09/30/2010,47.66707 -122.301946
Auto Fire Alarm,09/30/2010,47.595693 -122.333273
Aid Response,09/30/2010,47.528082 -122.355064
Aid Response,09/30/2010,47.635004 -122.322395
Aid Response,09/30/2010,47.617316 -122.347229
Trans to AMR,09/30/2010,47.70834 -122.287889
Aid Response,09/30/2010,47.617709 -122.330044
Medic Response,09/30/2010,47.602165 -122.330856
Aid Response,09/30/2010,47.608756 -122.336885
Motor Vehicle Accident,09/30/2010,47.608006 -122.301477
Automatic Medical Alarm,09/30/2010,47.614401 -122.288175
Motor Vehicle Accident,09/30/2010,47.615275 -122.310907
TEST - MIS TEST,09/30/2010,47.533685 -122.354063
"Hang-Up, Aid",09/30/2010,47.6042 -122.32351
Medic Response,09/30/2010,47.661257 -122.30641
Aid Response,09/30/2010,47.667954 -122.376216
Medic Response,09/30/2010,47.661269 -122.313049
Automatic Fire Alarm Resd,09/30/2010,47.64176 -122.394183
Motor Vehicle Accident,09/30/2010,47.575576 -122.337042
Aid Response,09/30/2010,47.557487 -122.386883
Medic Response,09/30/2010,47.664393 -122.283353
Auto Fire Alarm,09/30/2010,47.677564 -122.323912
Automatic Fire Alarm Resd,09/30/2010,47.517442 -122.379537
Medic Response,09/30/2010,47.602985 -122.328535
Aid Response,09/30/2010,47.602101 -122.299968
Aid Response,09/30/2010,47.53368 -122.355032
Aid Response,09/30/2010,47.54068 -122.319982
Medic Response,09/30/2010,47.612498 -122.350556
Medic Response,09/30/2010,47.555485 -122.287057
Medic Response,09/30/2010,47.609227 -122.31678
Aid Response,09/30/2010,47.614093 -122.343759
Aid Response,09/30/2010,47.618002 -122.329183
Medic Response,09/30/2010,47.555165 -122.283484
Medic Response,09/30/2010,47.600044 -122.334185
Aid Response,09/30/2010,47.610981 -122.323571
Auto Fire Alarm,09/30/2010,47.65635 -122.323496
Aid Response,09/30/2010,47.665001 -122.327933
Aid Response,09/30/2010,47.608357 -122.31678
Automatic Fire Alarm Resd,09/30/2010,47.525599 -122.317245
Aid Response,09/30/2010,47.661661 -122.319565
Aid Response,09/30/2010,47.629896 -122.281342
Automatic Fire Alarm False,09/30/2010,47.529462 -122.328267
Medic Response,09/30/2010,47.623213 -122.307305
Aid Response Yellow,09/30/2010,47.607557 -122.340392
Medic Response,09/30/2010,47.629729 -122.363118
Natural Gas Odor,09/30/2010,47.613001 -122.330025
Aid Response,09/30/2010,47.572163 -122.296173
Investigate In Service,09/30/2010,47.522798 -122.376702
Aid Response,09/30/2010,47.603781 -122.338424
Aid Response,09/30/2010,47.554453 -122.274122
Medic Response,09/30/2010,47.61874 -122.320854
Trans to AMR,09/30/2010,47.72343 -122.348165
