Type,Date,Location
Medic Response,03/02/2010,47.538882 -122.284082
Medic Response,03/02/2010,47.709638 -122.325982
Aid Response,03/02/2010,47.60739 -122.332564
Aid Response,03/02/2010,47.603549 -122.332122
Aid Response,03/02/2010,47.727704 -122.325084
Aid Response,03/02/2010,47.602114 -122.330809
Medic Response,03/02/2010,47.613466 -122.328913
1RED 1 Unit,03/02/2010,47.702161 -122.346901
Aid Response,03/02/2010,47.597406 -122.317228
Medic Response,03/02/2010,47.624583 -122.356709
Automatic Fire Alarm Resd,03/02/2010,47.633361 -122.279903
Aid Response,03/02/2010,47.612626 -122.341277
Aid Response,03/02/2010,47.600194 -122.330541
Auto Fire Alarm,03/02/2010,47.6227 -122.285828
Aid Response,03/02/2010,47.662866 -122.338756
Aid Response,03/02/2010,47.657426 -122.309724
"Hang-Up, Aid",03/02/2010,47.566271 -122.296956
Aid Response,03/02/2010,47.68686 -122.322952
1RED 1 Unit,03/02/2010,47.602602 -122.334168
Aid Response,03/02/2010,47.668678 -122.384829
Medic Response,03/02/2010,47.513547 -122.391121
Rescue Elevator,03/02/2010,47.599202 -122.294944
Automatic Fire Alarm Resd,03/02/2010,47.675799 -122.28699
Aid Response,03/02/2010,47.540683 -122.286131
Aid Response,03/02/2010,47.699744 -122.338756
Medic Response,03/02/2010,47.520795 -122.273391
Trans to AMR,03/02/2010,47.602114 -122.330809
Medic Response,03/02/2010,47.717759 -122.283168
Medic Response,03/02/2010,47.518001 -122.347974
Aid Response,03/02/2010,47.731111 -122.281944
Medic Response,03/02/2010,47.562734 -122.282778
Aid Response,03/02/2010,47.675794 -122.313094
Aid Response,03/02/2010,47.554184 -122.337417
Aid Response,03/02/2010,47.725503 -122.355552
Aid Response,03/02/2010,47.64203 -122.324675
Aid Response,03/02/2010,47.568047 -122.322673
Aid Response,03/02/2010,47.598348 -122.320763
Medic Response,03/02/2010,47.723436 -122.355547
Aid Response,03/02/2010,47.70322 -122.333903
Trans to AMR,03/02/2010,47.556785 -122.286143
Aid Response,03/02/2010,47.614788 -122.342952
Car Fire W/Exp.,03/02/2010,47.529846 -122.32703
"Medic Response, 6 per Rule",03/02/2010,47.623385 -122.320928
Aid Response,03/02/2010,47.626322 -122.348863
Medic Response,03/02/2010,47.615781 -122.334715
Aid Response,03/02/2010,47.615659 -122.318166
Medic Response,03/02/2010,47.523056 -122.319795
Aid Response,03/02/2010,47.649545 -122.360883
Aid Response,03/02/2010,47.602114 -122.330809
Motor Vehicle Accident,03/02/2010,47.536958 -122.270274
Auto Fire Alarm,03/02/2010,47.615781 -122.334715
Automatic Fire Alarm Resd,03/02/2010,47.582664 -122.313396
Automatic Fire Alarm Resd,03/02/2010,47.667232 -122.319526
Aid Response,03/02/2010,47.72959 -122.350769
Auto Fire Alarm,03/02/2010,47.619677 -122.311397
Investigate Out Of Service,03/02/2010,47.602172 -122.330863
Aid Response,03/02/2010,47.607763 -122.335976
Aid Response,03/02/2010,47.612492 -122.341051
Aid Response,03/02/2010,47.612626 -122.341277
"Hang-Up, Aid",03/02/2010,47.620616 -122.307348
Aid Response,03/02/2010,47.661204 -122.297647
Aid Response,03/02/2010,47.611786 -122.339857
Aid Response,03/02/2010,47.61055 -122.329318
Aid Response Yellow,03/02/2010,47.511111 -122.243611
Aid Response,03/02/2010,47.658523 -122.355459
Aid Response Yellow,03/02/2010,47.610743 -122.338702
Aid Response,03/02/2010,47.557058 -122.290901
Aid Response,03/02/2010,47.693113 -122.319604
Medic Response,03/02/2010,47.577984 -122.382081
Trans to AMR,03/02/2010,47.651485 -122.351356
Aid Response,03/02/2010,47.652978 -122.415985
Aid Response,03/02/2010,47.600043 -122.332879
Aid Response,03/02/2010,47.709488 -122.323301
Aid Response,03/02/2010,47.606122 -122.337544
Alarm Bell,03/02/2010,47.637093 -122.277112
Aid Response,03/02/2010,47.617714 -122.334018
Aid Response,03/02/2010,47.575276 -122.339976
Auto Fire Alarm,03/02/2010,47.615025 -122.353269
Aid Response,03/02/2010,47.531565 -122.272715
Medic Response,03/02/2010,47.708602 -122.324588
Medic Response,03/02/2010,47.537157 -122.361206
Aid Response,03/02/2010,47.564095 -122.288186
Auto Fire Alarm,03/02/2010,47.591454 -122.317281
Trans to AMR,03/02/2010,47.5626 -122.39622
Aid Response,03/02/2010,47.61404 -122.345653
Aid Response,03/02/2010,47.610405 -122.319357
"Medic Response, 7 per Rule",03/02/2010,47.521595 -122.264225
Trans to AMR,03/02/2010,47.618002 -122.329183
Auto Fire Alarm,03/02/2010,47.613098 -122.334718
Aid Response,03/02/2010,47.604377 -122.325207
Auto Fire Alarm,03/02/2010,47.733947 -122.312326
Automatic Fire Alarm False,03/02/2010,47.528857 -122.269987
Aid Response,03/02/2010,47.618566 -122.346316
Aid Response,03/02/2010,47.602172 -122.330863
Medic Response,03/02/2010,47.602985 -122.328535
Auto Fire Alarm,03/02/2010,47.652521 -122.314517
Medic Response,03/02/2010,47.574239 -122.306071
Car Fire,03/02/2010,47.661349 -122.326179
Auto Fire Alarm,03/02/2010,47.609402 -122.332864
Aid Response,03/02/2010,47.712306 -122.339738
Medic Response,03/02/2010,47.573997 -122.303352
Alarm Bell,03/02/2010,47.648655 -122.383359
Aid Response,03/02/2010,47.589942 -122.314853
Aid Response,03/02/2010,47.534478 -122.269989
1RED 1 Unit,03/02/2010,47.547658 -122.286326
Aid Response,03/02/2010,47.599192 -122.325681
Aid Response,03/02/2010,47.609827 -122.334796
Medic Response,03/02/2010,47.722899 -122.293194
Aid Response,03/02/2010,47.665731 -122.327849
Aid Response,03/02/2010,47.609241 -122.320757
Aid Response,03/02/2010,47.726643 -122.312072
Aid Response,03/02/2010,47.691795 -122.332408
Water Job Minor,03/02/2010,47.540722 -122.294584
Medic Response,03/02/2010,47.690609 -122.376806
Aid Response,03/02/2010,47.544872 -122.387215
Aid Response,03/02/2010,47.606122 -122.337544
Motor Vehicle Accident,03/03/2010,47.543404 -122.319104
Automatic Medical Alarm,03/03/2010,47.559169 -122.276971
Aid Response,03/03/2010,47.552151 -122.38999
Aid Response,03/03/2010,47.628509 -122.373092
Medic Response,03/03/2010,47.683933 -122.263872
Aid Response,03/03/2010,47.728572 -122.312676
Medic Response,03/03/2010,47.526519 -122.353345
Aid Response Yellow,03/03/2010,47.72343 -122.348165
Aid Response,03/03/2010,47.546164 -122.376408
Aid Response,03/03/2010,47.608845 -122.339956
Aid Response Yellow,03/03/2010,47.61291 -122.315199
Aid Response,03/03/2010,47.586823 -122.315983
Trans to AMR,03/03/2010,47.582823 -122.300344
Aid Response,03/03/2010,47.526465 -122.322916
Aid Response,03/03/2010,47.611672 -122.336484
Investigate Out Of Service,03/03/2010,47.62214 -122.362695
Aid Response,03/03/2010,47.556206 -122.282918
Medic Response,03/03/2010,47.71583 -122.318021
Aid Response,03/03/2010,47.646147 -122.349741
1RED 1 Unit,03/03/2010,47.568272 -122.408457
1RED 1 Unit,03/03/2010,47.682593 -122.322894
"Mutual Aid, Medic",03/03/2010,47.746945 -122.319737
Medic Response,03/03/2010,47.705036 -122.33393
Dumpster Fire,03/03/2010,47.614985 -122.33184
Medic Response,03/03/2010,47.610275 -122.341343
1RED 1 Unit,03/03/2010,47.73104 -122.347764
Aid Response,03/03/2010,47.615218 -122.326804
Aid Response,03/03/2010,47.600194 -122.330541
Aid Response,03/03/2010,47.709488 -122.323301
Aid Response,03/03/2010,47.632322 -122.360549
Aid Response,03/03/2010,47.631577 -122.29766
Aid Response,03/03/2010,47.517472 -122.375555
Aid Response,03/03/2010,47.631378 -122.359203
Aid Response,03/03/2010,47.732778 -122.296531
Medic Response,03/03/2010,47.699257 -122.325767
Natural Gas Odor,03/03/2010,47.666719 -122.310773
Aid Response,03/03/2010,47.614391 -122.338314
Medic Response,03/03/2010,47.655446 -122.312147
Medic Response,03/03/2010,47.723245 -122.35761
Trans to AMR,03/03/2010,47.618002 -122.329183
Medic Response,03/03/2010,47.603948 -122.330952
Aid Response,03/03/2010,47.511682 -122.259227
Aid Response,03/03/2010,47.732151 -122.315418
Aid Response,03/03/2010,47.610743 -122.338702
Trans to AMR,03/03/2010,47.530833 -122.28067
Medic Response,03/03/2010,47.683263 -122.36601
Automatic Fire Alarm Resd,03/03/2010,47.695256 -122.287063
Aid Response,03/03/2010,47.673923 -122.272779
Medic Response,03/03/2010,47.60994 -122.3237
Medic Response,03/03/2010,47.524322 -122.369918
Medic Response,03/03/2010,47.617928 -122.35422
Aid Response,03/03/2010,47.592105 -122.317281
Car Fire,03/03/2010,47.568724 -122.339074
Medic Response,03/03/2010,47.602813 -122.331449
Trans to AMR,03/03/2010,47.695267 -122.290294
Aid Response Yellow,03/03/2010,47.72343 -122.348165
Medic Response,03/03/2010,47.596674 -122.32479
Aid Response,03/03/2010,47.539419 -122.390816
4RED - 2 + 1 + 1,03/03/2010,47.700531 -122.34679
Aid Response,03/03/2010,47.577328 -122.395413
Aid Response,03/03/2010,47.661467 -122.368768
Aid Response,03/03/2010,47.560967 -122.339439
Aid Response,03/03/2010,47.611837 -122.343912
Aid Response,03/03/2010,47.507026 -122.269492
Aid Response,03/03/2010,47.633523 -122.277157
Aid Response,03/03/2010,47.542891 -122.359561
Aid Response,03/03/2010,47.615254 -122.318159
Medic Response,03/03/2010,47.606088 -122.332909
Trans to AMR,03/03/2010,47.568047 -122.322673
Trans to AMR,03/03/2010,47.554937 -122.282393
Rescue Elevator,03/03/2010,47.576848 -122.297004
Auto Fire Alarm,03/03/2010,47.731953 -122.293609
3RED - 1 +1 + 1,03/03/2010,47.708445 -122.29076
Aid Response,03/03/2010,47.550553 -122.397889
Aid Response,03/03/2010,47.610233 -122.336638
Automatic Fire Alarm False,03/03/2010,47.628337 -122.356681
Trans to AMR,03/03/2010,47.705344 -122.304328
Medic Response,03/03/2010,47.562472 -122.385455
Medic Response,03/03/2010,47.612963 -122.320762
Rescue Elevator,03/03/2010,47.576848 -122.297004
Trans to AMR,03/03/2010,47.623398 -122.333002
Aid Response,03/03/2010,47.563495 -122.318461
Trans to AMR,03/03/2010,47.582838 -122.386485
Aid Response,03/03/2010,47.611694 -122.324223
Medic Response,03/03/2010,47.615546 -122.302645
Car Fire Freeway,03/03/2010,47.643417 -122.308528
"Medic Response, 7 per Rule",03/03/2010,47.70866 -122.301278
Aid Response,03/03/2010,47.715047 -122.344858
Aid Response,03/03/2010,47.708899 -122.320568
Medic Response,03/03/2010,47.703266 -122.333904
Automatic Fire Alarm Resd,03/03/2010,47.716271 -122.371618
Aid Response,03/03/2010,47.692308 -122.31219
Aid Response,03/03/2010,47.518001 -122.347974
Aid Response,03/03/2010,47.608786 -122.336913
Aid Response,03/03/2010,47.60436 -122.319411
Automatic Medical Alarm,03/03/2010,47.520731 -122.352847
Car Fire,03/03/2010,47.509965 -122.283363
Aid Response,03/03/2010,47.614317 -122.316839
Aid Response,03/03/2010,47.667192 -122.376217
Medic Response,03/03/2010,47.554937 -122.282393
Aid Response,03/03/2010,47.523194 -122.393362
Aid Response,03/03/2010,47.615218 -122.326804
Aid Response,03/03/2010,47.536018 -122.292037
Fire in Single Family Res,03/03/2010,47.695677 -122.295158
Medic Response,03/03/2010,47.617316 -122.347229
Aid Response,03/03/2010,47.59502 -122.387397
Aid Response,03/03/2010,47.665852 -122.301917
Medic Response,03/03/2010,47.658298 -122.317782
Aid Response,03/03/2010,47.639575 -122.277084
Auto Fire Alarm,03/03/2010,47.642567 -122.376038
Aid Response,03/03/2010,47.560459 -122.275724
Aid Response,03/03/2010,47.604879 -122.324007
Automatic Fire Alarm Resd,03/03/2010,47.675136 -122.263884
Medic Response,03/03/2010,47.660173 -122.396101
Medic Response,03/03/2010,47.553377 -122.27386
Medic Response,03/03/2010,47.53022 -122.270809
Aid Response,03/03/2010,47.626322 -122.348863
Aid Response,03/03/2010,47.678056 -122.275605
Aid Response,03/03/2010,47.604991 -122.333174
Aid Response,03/03/2010,47.699611 -122.275287
Medic Response,03/03/2010,47.57363 -122.294548
Aid Response,03/03/2010,47.676021 -122.406368
Aid Response Yellow,03/03/2010,47.601702 -122.32215
Aid Response,03/03/2010,47.602985 -122.328535
Aid Response,03/03/2010,47.624578 -122.355404
Aid Response,03/03/2010,47.614094 -122.324458
Automatic Fire Alarm Resd,03/03/2010,47.637228 -122.280805
Aid Response,03/03/2010,47.575183 -122.378139
Aid Response,03/03/2010,47.606586 -122.336434
Aid Response,03/03/2010,47.580593 -122.313412
Aid Response,03/03/2010,47.613375 -122.346513
Motor Vehicle Accident,03/03/2010,47.723212 -122.344977
Aid Response,03/03/2010,47.692737 -122.344548
Aid Response,03/03/2010,47.61409 -122.337592
Medic Response,03/03/2010,47.602114 -122.330809
Aid Response,03/03/2010,47.538902 -122.268879
